IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989352,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989352,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989485,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989485,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989485,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989542,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989542,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989542,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989672,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989672,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989673,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989730,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989730,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989730,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,239.255.255.250,148.201.140.124,UDP,1900,54447,1488207989804,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,215,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989822,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989822,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989822,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989919,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989919,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207989919,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990001,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990002,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990002,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990105,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990105,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
OUT,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990105,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,54,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990199,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,1434,,,,
IN,148.201.140.67,87.98.159.156,TCP,59351,80,1488207990199,\Device\NPF_{72474F9B-D6DE-4294-A7E2-C1AB5DE6344A},58:20:B1:DA:25:C3,74,,,,
