OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420222,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,54,,,,
IN,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420222,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,262,,,,
OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420245,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,268,,,,
IN,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420254,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,324,,,,
OUT,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420254,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,54,,,,
OUT,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420257,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,144,,,,
IN,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420300,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,315,,,,
OUT,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420321,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,54,,,,
IN,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420324,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,161,,,,
OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420325,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,571,,,,
OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420326,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,1466,,,,
OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420326,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,1466,,,,
OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420326,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,1466,,,,
OUT,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420342,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,288,,,,
IN,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420382,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,283,,,,
IN,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420401,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,60,,,,
OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420401,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,1466,,,,
OUT,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420401,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,1211,,,,
IN,192.168.100.8,131.253.61.82,TCP,62375,443,1486335420401,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,60,,,,
OUT,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420403,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,54,,,,
OUT,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420429,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,54,,,,
IN,192.168.100.8,74.125.198.109,TCP,62377,993,1486335420472,\Device\NPF_{9EDB92D0-B575-484F-9046-9E025A04B3B6},4C:0B:BE:0E:C3:DA,54,,,,
