IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001150,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001202,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001218,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,1506,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001219,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,1506,,,,
OUT,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001219,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001220,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,1506,,,,
OUT,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001220,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001221,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,1506,,,,
OUT,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001221,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001222,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,1506,,,,
OUT,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001222,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001223,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,442,,,,
OUT,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001223,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001252,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001295,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
IN,192.168.1.70,194.68.28.115,TCP,49816,4070,1487553001344,\Device\NPF_{9F6DEA20-B9B9-4AC7-AE99-F64E27D50023},5C:E0:C5:A6:DB:5F,54,,,,
